舰船名,别名,启用,稀有度@zh（类型：exact）,稀有度@en（类型：exact）,阵营@zh（类型：exact）,阵营@en（类型：exact）,舰种@zh（类型：exact）,舰种@en（类型：exact）,舰级@zh（类型：exact）,舰级@en（类型：exact）,建造时间@zh（类型：ordered）,实装活动@zh（类型：ordered）,实装活动@en（类型：ordered）
喀琅施塔得,Kronshtadt,是,海上传奇,Ultra Rare,北方联合,Northern Parliament,超巡,CB,喀琅施塔得级,Kronshtadt,04:42:50,2022-02-24 深度回音,2022-02-24 Abyssal Refrain
契卡洛夫,Chkalov,是,最高方案,Priority,北方联合,Northern Parliament,航母,CV,71B型,Chkalov,科研,2022-07-14 轻量化复刻：蝶海梦花,2022-07-14 Season 5
纳希莫夫海军上将,Admiral Nakhimov,是,决战方案,Decisive,北方联合,Northern Parliament,航母,CV,苏维埃同盟级,Admiral Nakhimov,科研,2024-07-11 开发船坞,2024-07-11 Season 7
迪米特里·顿斯科伊,Dmitri Donskoi,是,最高方案,Priority,北方联合,Northern Parliament,轻巡,CL,65型,Dmitri Donskoi,科研,2025-07-10 开发船坞,2025-07-10 Season 8
凯旋,Le Triomphant,是,超稀有,Super Rare,自由鸢尾,Iris Libre,驱逐,DD,空想级,Le Fantasque,无法建造,2018-07-26 光与影的鸢尾之华,2018-07-26 Iris of Light and Dark
福尔班,Forbin,是,稀有,Rare,自由鸢尾,Iris Libre,驱逐,DD,机敏级,L'Adroit,00:23:00,2018-07-26 光与影的鸢尾之华,2018-07-26 Iris of Light and Dark
鲁莽,Le Téméraire,是,精锐,Elite,自由鸢尾,Iris Libre,驱逐,DD,大胆级,Le Hardi,无法建造,2018-09-14 大青花鱼的涂鸦板,2018-09-14 1 Year Anniversary
倔强,L'Opiniâtre,是,精锐,Elite,自由鸢尾,Iris Libre,驱逐,DD,大胆级,Le Hardi,无法建造,2019-06-27 复刻：光与影的鸢尾之华,2019-06-27 Iris of Light and Dark Rerun
大胆,Le Hardi,是,超稀有,Super Rare,自由鸢尾,Iris Libre,驱逐,DD,大胆级,L'Intrépide,00:26:00,2025-08-14 奇渊下的秘密,2025-08-14 Secrets of the Abyss
可怖,Le Terrible,是,超稀有,Super Rare,自由鸢尾,Iris Libre,驱逐,DD,空想级,Le Fantasque,00:33:00,2021-10-28 混沌的万圣之夜,2021-10-28 Skybound Oratorio Rerun
马耶·布雷泽,Maillé Brézé,是,精锐,Elite,自由鸢尾,Iris Libre,驱逐,DD,沃克兰级,Vauquelin,00:26:00,2021-10-28 混沌的万圣之夜,2021-10-28 Skybound Oratorio Rerun
鲁莽(μ兵装),Le Téméraire、Le Téméraire µ,是,精锐,Elite,自由鸢尾,Iris Libre,驱逐,DD,大胆级,Le Hardi,无法建造,2024-04-25 共鸣的PASSION,2024-04-25 Heart-Linking Harmony
埃米尔·贝尔汀,Émile Bertin,是,精锐,Elite,自由鸢尾,Iris Libre,轻巡,CL,埃米尔·贝尔汀级,Émile Bertin,无法建造,2018-07-26 光与影的鸢尾之华,2018-07-26 Iris of Light and Dark
圣女贞德,Jeanne d'Arc,是,超稀有,Super Rare,自由鸢尾,Iris Libre,轻巡,CL,圣女贞德级,Jeanne d'Arc,01:26:00,2020-05-21 穹顶下的圣咏曲,2020-05-21 Skybound Oratorio
吉尚,Guichen,是,超稀有,Super Rare,自由鸢尾,Iris Libre,轻巡,CL,德·格拉斯级,De Grasse,01:26:00,2023-08-17 愚者的天平,2023-08-17 The Fool's Scales
迪盖·特鲁因,Duguay-Trouin,是,精锐,Elite,自由鸢尾,Iris Libre,轻巡,CL,迪盖·特鲁因级,Duguay-Trouin,无法建造,2025-08-14 奇渊下的秘密,2025-08-14 Secrets of the Abyss
絮弗伦,Suffren,是,精锐,Elite,自由鸢尾,Iris Libre,重巡,CA,絮弗伦级,Suffren,01:45:00,2023-08-17 愚者的天平,2023-08-17 The Fool's Scales
布伦努斯,Brennus,是,超稀有,Super Rare,自由鸢尾,Iris Libre,重巡,CA,布伦努斯级,Brennus,01:50:00,2024-05-21 绽放于辉光之城,2024-05-21 Light of the Martyrium
迪凯纳,Duquesne,是,精锐,Elite,自由鸢尾,Iris Libre,重巡,CA,迪凯纳级,Duquesne,01:45:00,2025-08-14 奇渊下的秘密,2025-08-14 Secrets of the Abyss
马塞纳,Masséna,是,超稀有,Super Rare,自由鸢尾,Iris Libre,战巡,BC,马塞纳级,Masséna,04:05:00,2025-08-14 奇渊下的秘密,2025-08-14 Secrets of the Abyss
黎塞留,Richelieu,是,超稀有,Super Rare,自由鸢尾,Iris Libre,战列,BB,黎塞留级,Richelieu,05:50:00,2020-05-21 穹顶下的圣咏曲,2020-05-21 Skybound Oratorio
里昂,Lyon,是,精锐,Elite,自由鸢尾,Iris Libre,战列,BB,里昂级,Lyon,04:15:00,2023-08-17 愚者的天平,2023-08-17 The Fool's Scales
阿尔萨斯,Alsace,是,海上传奇,Ultra Rare,自由鸢尾,Iris Libre,战列,BB,阿尔萨斯级,Alsace,06:12:20,2024-05-21 绽放于辉光之城,2024-05-21 Light of the Martyrium
贝劳森林,Bois Belleau,是,超稀有,Super Rare,自由鸢尾,Iris Libre,轻航,CV,独立级,Independence,02:06:40,2025-08-14 奇渊下的秘密,2025-08-14 Secrets of the Abyss
贝亚恩,Béarn,是,精锐,Elite,自由鸢尾,Iris Libre,航母,CV,诺曼底级,Béarn,无法建造,2020-05-21 穹顶下的圣咏曲,2020-05-21 Skybound Oratorio
伴尔维,Painlevé,是,超稀有,Super Rare,自由鸢尾,Iris Libre,航母,CV,霞飞级,Joffre,04:35:00,2023-08-17 愚者的天平,2023-08-17 The Fool's Scales
絮库夫,Surcouf,是,精锐,Elite,自由鸢尾,Iris Libre,潜艇,SS,絮库夫级,Surcouf,00:35:00,2018-07-26 光与影的鸢尾之华,2018-07-26 Iris of Light and Dark Rerun
路易九世,Saint Louis,是,最高方案,Priority,自由鸢尾,Iris Libre,重巡,CA,路易九世级,Saint Louis,科研,2018-04-26 第十二章-马里亚纳风云•上,2018-04-26 Season 1
香槟,Champagne,是,最高方案,Priority,自由鸢尾,Iris Libre,战列,BB,黎塞留级,Champagne,科研,2020-07-09 开发船坞,2020-07-09 Season 3
布雷斯特,Brest,是,决战方案,Decisive,自由鸢尾,Iris Libre,超巡,CB,敦刻尔克级,Brest,科研,2022-07-14 轻量化复刻：蝶海梦花,2022-07-14 Season 5
贝亚德,Bayard,是,最高方案,Priority,自由鸢尾,Iris Libre,轻巡,CL,贝亚德级,Bayard,科研,2024-07-11 开发船坞,2024-07-11 Season 7
勒马尔,Le Mars,是,稀有,Rare,维希教廷,Vichya Dominion,驱逐,DD,机敏级,L'Adroit,00:23:00,2018-07-26 光与影的鸢尾之华,2018-07-26 Iris of Light and Dark
塔尔图,Tartu,是,精锐,Elite,维希教廷,Vichya Dominion,驱逐,DD,沃克兰级,Vauquelin,00:26:00,2020-05-07 夜幕下的归途,2020-05-07 The Way Home in the Night
沃克兰,Vauquelin,是,精锐,Elite,维希教廷,Vichya Dominion,驱逐,DD,沃克兰级,Vauquelin,00:26:00,2020-05-21 穹顶下的圣咏曲,2020-05-21 Skybound Oratorio
凯尔圣,Kersaint,是,精锐,Elite,维希教廷,Vichya Dominion,驱逐,DD,沃克兰级,Vauquelin,无法建造,2023-08-17 愚者的天平,2023-08-17 The Fool's Scales
花剑,Fleuret,是,精锐,Elite,维希教廷,Vichya Dominion,驱逐,DD,大胆级,Le Hardi,00:26:00,2024-05-21 绽放于辉光之城,2024-05-21 Light of the Martyrium
重剑,Épée,是,精锐,Elite,维希教廷,Vichya Dominion,驱逐,DD,大胆级,Le Hardi,无法建造,2024-05-21 绽放于辉光之城,2024-05-21 Light of the Martyrium
莫加多尔,Mogador,是,海上传奇,Ultra Rare,维希教廷,Vichya Dominion,驱逐,DD,莫加多尔级,Mogador,无法建造,2024-05-21 绽放于辉光之城,2024-05-21 Light of the Martyrium
恶毒,Le Malin,是,超稀有,Super Rare,维希教廷,Vichya Dominion,驱逐,DD,空想级,Le Fantasque,无法建造,2019-06-27 复刻：光与影的鸢尾之华,2019-06-27 Iris of Light and Dark Rerun
恶毒(μ兵装),Le Malin、Le Malin µ,是,超稀有,Super Rare,维希教廷,Vichya Dominion,驱逐,DD,空想级,Le Fantasque,无法建造,2020-10-29 激唱的UNIVERSE,2020-10-29 Universe in Unison
不屈,L'Indomptable,是,超稀有,Super Rare,维希教廷,Vichya Dominion,驱逐,DD,空想级,Le Fantasque,00:33:00,2022-06-30 来自鸢尾的天使,2022-06-30 Angel of the Iris
果敢,L'Audacieux,是,超稀有,Super Rare,维希教廷,Vichya Dominion,驱逐,DD,空想级,Le Fantasque,00:33:00,2024-07-25 幻梦间奏曲,2024-07-25 Interlude of Illusions
拉·加利索尼埃,La Galissonnière,是,精锐,Elite,维希教廷,Vichya Dominion,轻巡,CL,拉·加利索尼埃级,La Galissonnière,无法建造,2020-05-21 穹顶下的圣咏曲,2020-05-21 Skybound Oratorio
马赛曲,Marseillaise,是,超稀有,Super Rare,维希教廷,Vichya Dominion,轻巡,CL,拉·加利索尼埃级,La Galissonnière,01:26:00,2023-08-03 奏响鸢尾之歌,2023-08-03 Anthem of Remembrance
福煦,Foch,是,精锐,Elite,维希教廷,Vichya Dominion,重巡,CA,絮弗伦级,Suffren,01:45:00,2021-11-11 杰诺瓦的焰火,2021-11-11 The Flame-Touched Dagger
阿尔及利亚,Algérie,是,超稀有,Super Rare,维希教廷,Vichya Dominion,重巡,CA,阿尔及利亚级,Algérie,01:55:00,2020-05-21 穹顶下的圣咏曲,2020-05-21 Skybound Oratorio
迪普莱克斯,Dupleix,是,精锐,Elite,维希教廷,Vichya Dominion,重巡,CA,絮弗伦级,Suffren,01:45:00,2024-07-25 幻梦间奏曲,2024-07-25 Interlude of Illusions
敦刻尔克,Dunkerque,是,精锐,Elite,维希教廷,Vichya Dominion,战巡,BC,敦刻尔克级,Dunkerque,04:05:00,2018-07-26 光与影的鸢尾之华,2018-07-26 Iris of Light and Dark
斯特拉斯堡,Strasbourg,是,超稀有,Super Rare,维希教廷,Vichya Dominion,战巡,BC,敦刻尔克级,Dunkerque,04:05:00,2024-07-25 幻梦间奏曲,2024-07-25 Interlude of Illusions
让·巴尔,简·布罗伊、Jean Bart,是,超稀有,Super Rare,维希教廷,Vichya Dominion,战列,BB,黎塞留级,Richelieu,无法建造,2018-07-26 光与影的鸢尾之华,2018-07-26 Iris of Light and Dark
克莱蒙梭,Clemenceau,是,超稀有,Super Rare,维希教廷,Vichya Dominion,战列,BB,黎塞留级,Richelieu,05:50:00,2023-08-17 愚者的天平,2023-08-17 The Fool's Scales
加斯科涅(μ兵装),Gascogne、Gascogne µ,是,超稀有,Super Rare,维希教廷,Vichya Dominion,战列,BB,黎塞留级,Richelieu,05:50:00,2019-10-31 激奏的Polaris,2019-10-31 Crescendo of Polaris
霞飞,Joffre,是,超稀有,Super Rare,维希教廷,Vichya Dominion,航母,CV,霞飞级,Joffre,04:35:00,2022-06-30 来自鸢尾的天使,2022-06-30 Angel of the Iris
加斯科涅,Gascogne,是,最高方案,Priority,维希教廷,Vichya Dominion,战列,BB,黎塞留级,Richelieu,科研,2019-04-18 开发船坞,2019-04-18 Season 2
弗兰德尔,Flandre,是,最高方案,Priority,维希教廷,Vichya Dominion,战列,BB,阿尔萨斯级,Alsace,科研,2023-07-13 密语档案室,2023-07-13 Season 6
埃佛森,Evertsen,是,精锐,Elite,郁金王国,Kingdom of Tulipa,驱逐,DD,海军上将级,Admiralen,00:26:00,2025-04-24 扬起郁金之旗,2025-04-24 Toward Tulipa's Seas
七省,De Zeven Provinciën,是,超稀有,Super Rare,郁金王国,Kingdom of Tulipa,轻巡,CL,七省级,De Zeven Provinciën,01:25:00,2025-04-24 扬起郁金之旗,2025-04-24 Toward Tulipa's Seas
金狮,ハウデン・リーウ、Gouden Leeuw,是,决战方案,Decisive,郁金王国,Kingdom of Tulipa,重巡,CA,金狮级,Gouden Leeuw,科研,2025-07-10 开发船坞,2025-07-10 Season 8
夜刀神十香,Tohka Yatogami,是,超稀有,Super Rare,DateALiveV,Date A Live,重巡,CA,无舰级,No Class,01:08:20,2025-11-20 DATE A LANE,2025-11-20 Date A Lane
鸢一折纸,Origami Tobiichi,是,超稀有,Super Rare,DateALiveV,Date A Live,航母,CV,无舰级,No Class,02:13:50,2025-11-20 DATE A LANE,2025-11-20 Date A Lane
五河琴里,Kotori Itsuka,是,超稀有,Super Rare,DateALiveV,Date A Live,战列,BB,无舰级,No Class,03:05:10,2025-11-20 DATE A LANE,2025-11-20 Date A Lane
四糸乃,Yoshino,是,超稀有,Super Rare,DateALiveV,Date A Live,轻航,CVL,无舰级,No Class,无法建造,2025-11-20 DATE A LANE,2025-11-20 Date A Lane
时崎狂三,Kurumi Tokisaki,是,超稀有,Super Rare,DateALiveV,Date A Live,轻巡,CL,无舰级,No Class,无法建造,2025-11-20 DATE A LANE,2025-11-20 Date A Lane
八舞耶倶矢·八舞夕弦,Kaguya Yamai・Yuzuru Yamai,是,超稀有,Super Rare,DateALiveV,Date A Live,轻巡,CL,无舰级,No Class,02:05:40,2025-11-20 DATE A LANE,2025-11-20 Date A Lane
皇家财富号,Royal Fortune,是,超稀有,Super Rare,飓风,Tempesta,风帆S,IXs,无舰级,No Class,无法建造,2022-10-27 战斗！皇家女仆队3rd？,2022-10-27 Halloween Hijinks
圣马丁号,São Martinho,是,超稀有,Super Rare,飓风,Tempesta,风帆M,IXm,无舰级,No Class,04:26:21,2023-10-26 飓风与青春之泉,2023-10-26 Tempesta and the Fountain of Youth
金鹿号,Golden Hind,是,超稀有,Super Rare,飓风,Tempesta,风帆V,IXv,无舰级,No Class,01:26:18,2023-10-26 飓风与青春之泉,2023-10-26 Tempesta and the Fountain of Youth
玛丽·西莱斯特号,Mary Celeste,是,超稀有,Super Rare,飓风,Tempesta,风帆S,IXs,无舰级,No Class,00:31:01,2023-10-26 飓风与青春之泉,2023-10-26 Tempesta and the Fountain of Youth
维达号,Whydah,是,精锐,Elite,飓风,Tempesta,风帆S,IXs,无舰级,No Class,00:28:36,2023-10-26 飓风与青春之泉,2023-10-26 Tempesta and the Fountain of Youth
加里冒险号,Adventure Galley,是,精锐,Elite,飓风,Tempesta,风帆V,IXv,加里冒险号级,Adventure Galley,无法建造,2023-10-26 飓风与青春之泉,2023-10-26 Tempesta and the Fountain of Youth
冈依沙瓦号,Ganj-i-Sawai,是,超稀有,Super Rare,飓风,Tempesta,风帆M,IXm,无舰级,No Class,04:42:30,2024-10-24 飓风与沉眠之海,2024-10-24 Tempesta and the Sleeping Sea
幻想号,Fancy,是,超稀有,Super Rare,飓风,Tempesta,风帆V,IXv,无舰级,No Class,01:39:21,2024-10-24 飓风与沉眠之海,2024-10-24 Tempesta and the Sleeping Sea
和睦号,Amity,是,超稀有,Super Rare,飓风,Tempesta,风帆S,IXs,无舰级,No Class,00:28:13,2024-10-24 飓风与沉眠之海,2024-10-24 Tempesta and the Sleeping Sea
朴茨茅斯冒险号,Portsmouth Adventure,是,精锐,Elite,飓风,Tempesta,风帆V,IXv,无舰级,No Class,00:28:14,2024-10-24 飓风与沉眠之海,2024-10-24 Tempesta and the Sleeping Sea
海豚号,Dolphin,是,精锐,Elite,飓风,Tempesta,风帆S,IXs,无舰级,No Class,无法建造,2024-10-24 飓风与沉眠之海,2024-10-24 Tempesta and the Sleeping Sea
安妮女王复仇号,Queen Anne's Revenge,是,超稀有,Super Rare,飓风,Tempesta,风帆M,IXm,安妮女王复仇号级,Queen Anne's Revenge,04:46:10,2025-10-23 飓风与自由群岛,2025-10-23 Tempesta and Islas de Libertád
莱姆号,Lyme,是,超稀有,Super Rare,飓风,Tempesta,风帆V,IXv,莱姆号级,Lyme,00:28:14,2025-10-23 飓风与自由群岛,2025-10-23 Tempesta and Islas de Libertád
珍珠号,Pearl,是,超稀有,Super Rare,飓风,Tempesta,风帆M,IXm,珍珠号级,Pearl,04:46:02,2025-10-23 飓风与自由群岛,2025-10-23 Tempesta and Islas de Libertád
皇家詹姆斯号,Royal James,是,精锐,Elite,飓风,Tempesta,风帆V,IXv,皇家詹姆斯号级,Royal James,00:28:37,2025-10-23 飓风与自由群岛,2025-10-23 Tempesta and Islas de Libertád
冒险号,Adventure,是,精锐,Elite,飓风,Tempesta,风帆S,IXs,冒险号级,Adventure,无法建造,2025-10-23 飓风与自由群岛,2025-10-23 Tempesta and Islas de Libertád
猎人·META,Hunter META,是,精锐,Elite,META-???,META,驱逐,DD,H级,Cinders of Hope,巡游,2022-09-29 啾啾拉力赛·2nd,2022-09-29 Season 7
命运女神·META,Fortune META,是,精锐,Elite,META-???,META,驱逐,DD,F级,Cinders of Hope,巡游,2022-12-08 信标·META,2022-12-08 Season 8
旗风·META,樋·META、Hatakaze META,是,精锐,Elite,META-???,META,驱逐,DD,神风级,Smoldering Core,巡游,2023-08-03 奏响鸢尾之歌,2023-08-03 Season 12
金伯利·META,Kimberly META,是,精锐,Elite,META-???,META,驱逐,DD,弗莱彻级,Ashen Might,巡游,2024-01-30 寰昌宇定家事忙,2024-01-30 Season 15
吸血鬼·META,Vampire META,是,精锐,Elite,META-???,META,驱逐,DD,旧V级,Cinders of Hope,巡游,2024-04-01 觉醒的黄金,2024-04-01 Season 16
霞·META,蕸·META、Kasumi META,是,精锐,Elite,META-???,META,驱逐,DD,朝潮级,Framework of Logic,巡游,2024-08-08 作战准备：帕克菲克洋,2024-08-08 Season 18
格伦维尔·META,Grenville META,是,精锐,Elite,META-???,META,驱逐,DD,G级,Cinders of Hope,巡游,2025-05-29 “深渊之国”的缔造者,2025-05-29 Season 23
江风·META,茳·META、Kawakaze META,是,超稀有,Super Rare,META-???,META,驱逐,DD,白露级,Smoldering Core,META 作战,2025-06-05 幻影迷途者,2025-06-05 Season 19
夕立·META,椿·META、Yūdachi META、Yuudachi META,是,超稀有,Super Rare,META-???,META,驱逐,DD,白露级,Ashen Might,META 作战,2025-09-04 作战准备：天域天原,2025-09-04 Season 20
杜威·META,Dewey META,是,精锐,Elite,META-???,META,驱逐,DD,法拉格特级,Ashen Might,巡游,2025-09-29 岛屿计划,2025-09-29 Season 25
海伦娜·META,Helena.META、Helena META,是,超稀有,Super Rare,META-???,META,轻巡,CL,布鲁克林级,Ashen Might,META 作战,2021-06-10 活动档案,2021-06-10 Season 3
孟菲斯·META,Memphis META,是,精锐,Elite,META-???,META,轻巡,CL,奥马哈级,Framework of Logic,巡游,2022-06-01 合雅之宴,2022-06-01 Season 5
谢菲尔德·META,Sheffield META,是,精锐,Elite,META-???,META,轻巡,CL,城级,Ashen Might,巡游,2023-02-02 啾啾灯会,2023-02-02 Season 9
拉·加利索尼埃·META,La Galissonnière META、La Galissonniére META,是,精锐,Elite,META-???,META,轻巡,CL,拉·加利索尼埃级,Cinders of Hope,巡游,2023-03-31 一锤！Burin！,2023-03-31 Season 10
神通·META,貎·META、Jintsū.META、Jintsuu META,是,超稀有,Super Rare,META-???,META,轻巡,CL,川内级,Framework of Logic,META 作战,2023-08-31 信息对抗模拟测试,2023-08-31 Season 12
基洛夫·META,Kirov(META)、Kirov META,是,超稀有,Super Rare,META-???,META,轻巡,CL,基洛夫级,Cinders of Hope,META 作战,2023-12-07 AZURLANE人气投票2023,2023-12-07 Season 13
水星纪念·META,Pamiat' Merkuria(META)、Pamiat' Merkuria META,是,超稀有,Super Rare,META-???,META,轻巡,CL,博加特里级,Flickering Light,01:17:00,2024-02-29 雪境迷踪,2024-02-29 Snowrealm Peregrination
博伊西·META,树城·META、Boise META,是,精锐,Elite,META-???,META,轻巡,CL,布鲁克林级,Framework of Logic,巡游,2025-12-04 AZUR LANE人气投票2025,2025-12-04 Season 26
克利夫兰·META,Cleveland META,是,超稀有,Super Rare,META-???,META,轻巡,CL,克利夫兰级,Ashen Might,01:25:00,2025-12-18 响彻于天穹之音,2025-12-18 A Note Through the Firmament
特伦托·META,Trento META,是,精锐,Elite,META-???,META,重巡,CA,特伦托级,Flickering Light,巡游,2022-07-28 雄鹰的叙事歌,2022-07-28 Season 6
阿尔及利亚·META,Algérie META,是,超稀有,Super Rare,META-???,META,重巡,CA,阿尔及利亚级,Cinders of Hope,META 作战,2023-06-08 信标·META,2023-06-08 Season 11
福煦·META,Foch META,是,精锐,Elite,META-???,META,重巡,CA,絮弗伦级,Cinders of Hope,巡游,2024-05-30 今日的指挥练习,2024-05-30 Season 17
威奇塔·META,Wichita META,是,超稀有,Super Rare,META-???,META,重巡,CA,威奇塔级,Ashen Might,META 作战,2024-06-13 限时兵装训练,2024-06-13 Season 15
希佩尔海军上将·META,芙兰希卡·META、Admiral Hipper META,是,超稀有,Super Rare,META-???,META,重巡,CA,希佩尔海军上将级,Cinders of Hope,02:00:00,2024-12-19 星光下的余晖,2024-12-19 Substellar Crepuscule
博尔扎诺·META,Bolzano META,是,精锐,Elite,META-???,META,重巡,CA,博尔扎诺级,Cinders of Hope,巡游,2025-02-06 轻量化复刻：远汇点作战,2025-02-06 Season 21
格奈森瑙·META,奥古斯塔·META、Gneisenau.META、Gneisenau META,是,超稀有,Super Rare,META-???,META,战巡,BC,沙恩霍斯特级,Cinders of Hope,META 作战,2021-12-09 大型作战,2021-12-09 Season 5
沙恩霍斯特·META,格尔林德·META、Scharnhorst.META、Scharnhorst META,是,超稀有,Super Rare,META-???,META,战巡,BC,沙恩霍斯特级,Ashen Might,META 作战,2022-03-10 信标·META,2022-03-10 Season 6
反击·META,Repulse META,是,超稀有,Super Rare,META-???,META,战巡,BC,声望级,Ashen Might,META 作战,2022-06-09 特别支援计划·特殊兵装,2022-06-09 Season 7
声望·META,Renown META,是,超稀有,Super Rare,META-???,META,战巡,BC,声望级,Ashen Might,META 作战,2022-09-01 啾啾快餐店,2022-09-01 Season 8
比叡·META,鲟·META、Hiei META,是,超稀有,Super Rare,META-???,META,战巡,BC,金刚级,Cinders of Hope,04:10:00,2024-09-12 唤醒苍红之炎,2024-09-12 Ode of Everblooming Crimson
敦刻尔克·META,Dunkerque META,是,精锐,Elite,META-???,META,战巡,BC,敦刻尔克级,Cinders of Hope,巡游,2025-08-07 林间度假准备,2025-08-07 Season 24
扶桑·META,魟·META、Fusō.META、Fusou META,是,精锐,Elite,META-???,META,战列,BB,扶桑级,Ashen Might,巡游,2021-09-30 啾啾大胃王大赛,2021-09-30 Season 1
山城·META,鲼·META、Yamashiro.META、Yamashiro META,是,精锐,Elite,META-???,META,战列,BB,扶桑级,Flickering Light,巡游,2022-04-07 箱庭疗法,2022-04-07 Season 4
亚利桑那·META,Arizona META,是,超稀有,Super Rare,META-???,META,战列,BB,宾夕法尼亚级,Framework of Logic,META 作战,2022-12-08 信标·META,2022-12-08 Season 9
伊丽莎白女王·META,Queen Elizabeth META,是,超稀有,Super Rare,META-???,META,战列,BB,伊丽莎白女王级,Cinders of Hope,META 作战,2023-03-09 轻量化复刻：复兴的赞美诗,2023-03-09 Season 10
罗德尼·META,Rodney META,是,超稀有,Super Rare,META-???,META,战列,BB,纳尔逊级,Framework of Logic,META 作战,2024-03-14 轻量化复刻：虚像构筑之塔·序章,2024-03-14 Season 14
长门·META,鲨·META、Nagato META,是,超稀有,Super Rare,META-???,META,战列,BB,长门型,Smoldering Core,META 作战,2024-09-05 作战准备：奈落,2024-09-05 Season 16
朱利奥·凯撒·META,Giulio Cesare META,是,精锐,Elite,META-???,META,战列,BB,加富尔伯爵级,Cinders of Hope,巡游,2024-12-05 限时兵装训练,2024-12-05 Season 20
安德烈亚·多利亚·META,Andrea Doria META,是,超稀有,Super Rare,META-???,META,战列,BB,安德烈亚·多利亚级,Cinders of Hope,04:15:00,2025-02-27 樊笼内的神光,2025-02-27 Paradiso of Shackled Light
内华达·META,Nevada META,是,精锐,Elite,META-???,META,战列,BB,内华达级,Ashen Might,巡游,2025-03-27 深谷来信,2025-03-27 Season 22
飞鹰·META,鸱·META、Hiyō.META、Hiyou META,是,精锐,Elite,META-???,META,轻航,CVL,飞鹰级,Ashen Might,巡游,2021-11-25 交汇世界的弧光,2021-11-25 Season 2
隼鹰·META,鸢·META、Jun'yō.META、Junyou META,是,精锐,Elite,META-???,META,轻航,CVL,飞鹰级,Ashen Might,巡游,2022-01-27 演习神秘事件调查,2022-01-27 Season 3
普林斯顿·META,Princeton META,是,精锐,Elite,META-???,META,轻航,CVL,独立级,Ashen Might,巡游,2023-09-28 疾速赛道,2023-09-28 Season 13
凤翔·META,凤·META、Hōshō META、Houshou META,是,精锐,Elite,META-???,META,轻航,CVL,凤翔级,Smoldering Core,巡游,2024-09-26 宿舍计划,2024-09-26 Season 19
飞龙·META,龙·META、Hiryu.META、Hiryuu META,是,超稀有,Super Rare,META-???,META,航母,CV,飞龙级,Ashen Might,META 作战,2020-12-22 大型作战,2020-12-22 Season 1
皇家方舟·META,Ark Royal.META、Ark Royal META,是,超稀有,Super Rare,META-???,META,航母,CV,皇家方舟级,Ashen Might,META 作战,2021-03-18 峦,2021-03-18 Season 2
苍龙·META,蛟·META、Sōryū.META、Souryuu META,是,超稀有,Super Rare,META-???,META,航母,CV,苍龙级,Flickering Light,META 作战,2021-09-09 作战准备：重樱,2021-09-09 Season 4
贝亚恩·META,Béarn META,是,超稀有,Super Rare,META-???,META,航母,CV,诺曼底级,Flickering Light,02:00:00,2024-05-21 绽放于辉光之城,2024-05-21 Light of the Martyrium
大凤·META,鹩·META、Taihō META、Taihou META,是,超稀有,Super Rare,META-???,META,航母,CV,大凤级,Flickering Light,META 作战,2024-12-12 作战准备：？？？,2024-12-12 Season 17
大黄蜂·META,Hornet META,是,超稀有,Super Rare,META-???,META,航母,CV,约克城级,Ashen Might,META 作战,2025-03-13 限时兵装训练,2025-03-13 Season 18
光荣·META,Glorious META,是,超稀有,Super Rare,META-???,META,航母,CV,勇敢级,Cinders of Hope,03:50:00,2025-05-20 高塔上的蔷薇,2025-05-20 A Rose on the High Tower
约克城·META,Yorktown META,是,超稀有,Super Rare,META-???,META,航母,CV,约克城级,Framework of Logic,META 作战,2025-12-11 作战准备：越界实验,2025-12-11 Season 21
U-556·META,优可可洛·META、U-556 META,是,超稀有,Super Rare,META-???,META,潜艇,SS,VIIC型,Flickering Light,00:13:00,2023-05-25 空相交汇点,2023-05-25 Confluence of Nothingness
女灶神·META,Vestal META,是,精锐,Elite,META-???,META,维修,AR,女灶神级,Framework of Logic,巡游,2023-06-01 庆典与金色乐章,2023-06-01 Season 11
黑暗界·META,Erebus META,是,精锐,Elite,META-???,META,重炮,BM,黑暗界级,Cinders of Hope,巡游,2023-12-07 AZURLANE人气投票2023,2023-12-07 Season 14
涅普顿,Neptune、Neptune (Neptunia),是,精锐,Elite,海王星,Neptunia,轻巡,CL,无舰级,No Class,无法建造,2018-02-06 异次元的访客,2018-02-06 Visitors from Another Dimension
诺瓦露,Noire,是,精锐,Elite,海王星,Neptunia,重巡,CA,无舰级,No Class,02:38:00,2018-02-06 异次元的访客,2018-02-06 Visitors from Another Dimension
布兰,Blanc,是,精锐,Elite,海王星,Neptunia,驱逐,DD,无舰级,No Class,02:24:00,2018-02-06 异次元的访客,2018-02-06 Visitors from Another Dimension
贝露,Vert,是,精锐,Elite,海王星,Neptunia,航母,CV,无舰级,No Class,无法建造,2018-02-06 异次元的访客,2018-02-06 Visitors from Another Dimension
绀紫之心,Purple Heart,是,超稀有,Super Rare,海王星,Neptunia,轻巡,CL,无舰级,No Class,02:44:00,2018-02-06 异次元的访客,2018-02-06 Visitors from Another Dimension
圣黑之心,Black Heart,是,超稀有,Super Rare,海王星,Neptunia,重巡,CA,无舰级,No Class,02:40:00,2018-02-06 异次元的访客,2018-02-06 Visitors from Another Dimension
